"docty","docdt","display_title","projectid","txturl","pdfurl","repnb","prdln","projn","id","preprim","tarl","stped","docyear","totalchar","mainsec","anyBB","anyBB_nopreprim","boardapprovaldate","curr_total_commitment","sector1"
"Project Appraisal Document","2017-06-15T00:00:00Z","Rwanda - Priority Skills for Growth Program-for-Results Project","P252350","http://documents.worldbank.org/curated/en/960171499479277244/text/Rwanda-PAD-06152017.txt","http://documents.worldbank.org/curated/en/960171499479277244/pdf/Rwanda-PAD-06152017.pdf","116204","IBRD/IDA","RW-Rwanda Priority Skills For Growth (Psg)
            -- P252350","27659648",6,0,0,2017,398160,1,1,0,NA,NA,NA
"Project Appraisal Document","2023-06-02T00:00:00Z","Indonesia - Second Phase of Investing in Nutrition and Early Years Program-For-Results Project","P180491","http://documents.worldbank.org/curated/en/099092923114530998/text/BOSIB0cf27c2f30790b32809ff0e750abd1.txt","http://documents.worldbank.org/curated/en/099092923114530998/pdf/BOSIB0cf27c2f30790b32809ff0e750abd1.pdf","PAD5388","IBRD/IDA","ID-Investing In Nutrition & Early Years
            Phase 2 Program -- P180491","34175424",0,0,0,2023,479142,0,0,0,NA,NA,NA
"Project Appraisal Document","2023-04-05T00:00:00Z","Paraguay - Joining Efforts for an Education of Excellence Project","P180015","http://documents.worldbank.org/curated/en/099040623154083853/text/BOSIB05ab2356609b0907c07f9e74bca5e1.txt","http://documents.worldbank.org/curated/en/099040623154083853/pdf/BOSIB05ab2356609b0907c07f9e74bca5e1.pdf","PAD5309","IBRD/IDA","PY-Joining Efforts For An Education Of
            Excellence In Paraguay Proj -- P180015","34037083",5,0,0,2023,271522,1,1,0,NA,NA,NA
"Project Appraisal Document","2023-10-11T00:00:00Z","Africa - Think Tank Platform Project","P179804","http://documents.worldbank.org/curated/en/099101623140041645/text/BOSIB0c74a63d907e081120e77d1999b450.txt","http://documents.worldbank.org/curated/en/099101623140041645/pdf/BOSIB0c74a63d907e081120e77d1999b450.pdf","PAD5316","IBRD/IDA","3E-Africa Think Tank Platform Project -- P179804","34181233",0,0,0,2023,149264,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-09-07T00:00:00Z","Eastern and Southern Africa - East Africa Girls’ Empowerment and Resilience Project","P179293","http://documents.worldbank.org/curated/en/099091123165532948/text/BOSIB056d7f6af0ef099ce04d045ba9cb61.txt","http://documents.worldbank.org/curated/en/099091123165532948/pdf/BOSIB056d7f6af0ef099ce04d045ba9cb61.pdf","PAD5392","IBRD/IDA","3E-East Africa Girls' Empowerment And
            Resilience -- P179293","34160387",0,0,0,2023,212867,0,0,0,NA,NA,NA
"Project Appraisal Document","2023-06-28T00:00:00Z","Brazil - Progestão Tocantins : Public Sector Management Efficiency Project","P179088","http://documents.worldbank.org/curated/en/099070523170022241/text/BOSIB08dece93008a0a6360e18078ba4be9.txt","http://documents.worldbank.org/curated/en/099070523170022241/pdf/BOSIB08dece93008a0a6360e18078ba4be9.pdf","PAD5191","IBRD/IDA","BR-Progestão Tocantins: Public Sector
            Management Efficiency -- P179088","34112838",0,0,0,2023,248007,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-06-28T00:00:00Z","Brazil - Progestão Acre : Public Sector Management Efficiency Project","P179046","http://documents.worldbank.org/curated/en/099070523101517375/text/BOSIB092adc40c00a0a30b02647df2cd73b.txt","http://documents.worldbank.org/curated/en/099070523101517375/pdf/BOSIB092adc40c00a0a30b02647df2cd73b.pdf","PAD5186","IBRD/IDA","BR-Progestão Acre: Public Sector Management
            Efficiency -- P179046","34112830",0,0,0,2023,268864,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-10-04T00:00:00Z","Brazil - Mato Grosso Resilient, Inclusive, and Sustainable Learning Project","P178993","http://documents.worldbank.org/curated/en/099100623121072327/text/BOSIB0a88a28ad0fe0938804a45368f3f3e.txt","http://documents.worldbank.org/curated/en/099100623121072327/pdf/BOSIB0a88a28ad0fe0938804a45368f3f3e.pdf","PAD5110","IBRD/IDA","BR-Mato Grosso Resilient, Inclusive, And
            Sustainable Learning Proj -- P178993","34176792",0,0,0,2023,188091,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-06-07T00:00:00Z","Senegal - Higher Education Project : Espoir‐Jeunes","P178750","http://documents.worldbank.org/curated/en/099060923150012750/text/BOSIB0df650f3a04e0b78e0853e8e804c71.txt","http://documents.worldbank.org/curated/en/099060923150012750/pdf/BOSIB0df650f3a04e0b78e0853e8e804c71.pdf","PAD5271","IBRD/IDA","SN-Senegal Higher Education Project -
            Espoir-Jeunes -- P178750","34078154",0,0,0,2023,245679,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-08-14T00:00:00Z","Central African Republic - Local Governance and Community Resilience Project","P178699","http://documents.worldbank.org/curated/en/099081723141018935/text/BOSIB02d19a3d70380b56007619a22aae59.txt","http://documents.worldbank.org/curated/en/099081723141018935/pdf/BOSIB02d19a3d70380b56007619a22aae59.pdf","PAD5175","IBRD/IDA","CF-Local Governance And Community Resilience
            Project -- P178699","34145442",0,0,0,2023,200479,1,0,0,NA,NA,NA
"Project Appraisal Document","2023-03-07T00:00:00Z","Congo, Democratic Republic of - Girls Learning and Empowerment Project","P178684","http://documents.worldbank.org/curated/en/099000503102331114/text/BOSIB044aa66a10d208a3b091540fad5b7d.txt","http://documents.worldbank.org/curated/en/099000503102331114/pdf/BOSIB044aa66a10d208a3b091540fad5b7d.pdf","PAD5151","IBRD/IDA","ZR-Drc Girls Learning And Empowerment
            Project -- P178684","34018987",3,0,0,2023,223003,1,1,0,NA,NA,NA
"Project Appraisal Document","2023-04-21T00:00:00Z","South Sudan - Building Skills for Human Capital Development in South Sudan Project","P178654","http://documents.worldbank.org/curated/en/099042623145525881/text/BOSIB16bf0132a0651b03113d0de461f77e.txt","http://documents.worldbank.org/curated/en/099042623145525881/pdf/BOSIB16bf0132a0651b03113d0de461f77e.pdf","PAD5283","IBRD/IDA","SS-Building Skills For Human Capital
            Development In South Sudan -- P178654","34050760",0,0,8,2023,221150,0,1,1,NA,NA,NA
"Project Appraisal Document","2023-06-12T00:00:00Z","Jamaica - Education Project","P178595","http://documents.worldbank.org/curated/en/099061423113025131/text/BOSIB05b1178e00e80ab1b0c006319d923e.txt","http://documents.worldbank.org/curated/en/099061423113025131/pdf/BOSIB05b1178e00e80ab1b0c006319d923e.pdf","PAD5213","IBRD/IDA","JM-Jamaica Education Project -- P178595","34091645",0,2,0,2023,196789,1,1,1,NA,NA,NA
