id,title,description,icf,gender,planstart,actualstart,planend,actualend,sectors,sector_pct,parent,budget_sum
GB-1-102014,Humanitarian and Stabilisation Response Equipment Project,"To provide DFID's CHASE and the Stabilisation Unit with a stockpile of vehicles, relief goods, deployable field offices and emergency response equipment for use in humanitarian and/or stabilisation operations.",0,0,01/08/2006,01/08/2006,01/08/2006,NA,15220;21010,66.00;34.00,GB-1-102014,5266381
GB-1-102015,Security Sector Reform Implementation Framework,To provide guidance on translating existing OECD DAC policy on SSR into practice in SSR programming,0,0,01/09/2006,01/09/2006,01/09/2006,NA,15110,100,GB-1-102015,39957
GB-1-102021,Human Security Report Project,To help provide the information and analysis that are necessary for  effective based human security related policy.,0,0,01/04/2007,01/04/2007,01/04/2007,NA,15220,100,GB-1-102021,1786974
GB-1-102022,Avocats Sans Frontieres - Access to Justice and  Protection of Human Rights,To provide core funding to ASF allowing them to achieve their strategic objectives.Improve access to justice for society's most vulnerable people in the least developed countries,0,0,01/04/2007,01/04/2007,01/04/2007,NA,15130,100,GB-1-102022,1205937
GB-1-102023,Multinational Civilian-Military Exercises,"TO HELP OUR INTERNATIONAL PARTNERS STABILISE CONFLICT THROUGH INTEGRATED CROSS-GOVERNMENT ASSESSMENT, PLANNING AND IMPLEMENTATIONTO PARTICIPATE IN WORKSHOPS AIMED AT HELPING OUR INTERNATIONAL PARTNERS STABILISE CONFLICT THROUGH INTEGRATED CROSS-GOVERNMENT ASSESSMENT, PLANNING AND IMPLEMENTATION",0,0,01/08/2007,01/08/2007,01/08/2007,NA,15210,100,GB-1-102023,181430
GB-1-102024,Search for Common Ground,Support to Conflict Prevention and Peacebuilding and Media Activities,0,1,01/04/2007,01/04/2007,01/04/2007,NA,15220,100,GB-1-102024,1290000
GB-1-102054,The World Bank's Avian and Human Influenza Facility (AHIF),"To support the World Bank's multi-donor trust fund for the Avian and Human Influenza Facility (AHIF), to minimize the risk and socio-economic impact of avian influenza and to help prepare for a possible human influenza pandemic in developing countries lacking adequate domestic resources and capacity to fight the disease",0,0,01/08/2006,01/08/2006,01/08/2006,NA,12250,100,GB-1-102054,9225000
GB-1-102055,Humanitarian emergency response stockpile of non-food items.,To manage DFID's stockpile of emergency humanitarian relief supplies and to enable DFID to deploy items rapidly and effectively in an humanitarian emergency response.,0,0,01/07/2006,01/07/2006,01/07/2006,NA,72010,100,GB-1-102055,4273867
GB-1-102056,Avian and Human Influenza: Supporting the United Nations Office for the Coordination of Humanitarian Assistance (OCHA),"To provide a senior programme adviser in support of the Pandemic Preparedness Support Team at the UN's Office for the Co-ordination of Humanitarian Assistance (OCHA) in Geneva, the focal point for support to national pandemic preparedness",0,0,01/11/2006,01/11/2006,01/11/2006,NA,12250,100,GB-1-102056,907813
GB-1-102057,Support to Food and Agriculture Organisation's Global Avian Influenza Control Programme,"To enhance the Food and Agriculture Organisation's (FAO) programmes and projects to counter avian influenza internationally, and contribute to the multi-donor Special Fund for Emergency and Rehabilitation Response (SFERA)",0,0,01/03/2007,01/03/2007,01/03/2007,NA,12250,100,GB-1-102057,3500000
GB-1-102058,Support to the World Health Organisation's Avian Human Influenza (AHI) Programme,"To enhance the programmes and projects of the World Health Organisation (WHO) aimed at preventing an avian influenza pandemic, and to increase global preparedness to withstand such a pandemic, if it cannot be prevented",0,0,01/02/2007,01/02/2007,01/02/2007,NA,12250,100,GB-1-102058,3500000
GB-1-102060,United Nations Disaster Assessment and Coordination (UNDAC),To assist the international community in meeting international needs for information and when necessary in coordinating international relief efforts in sudden onset natural disasters,0,0,01/11/2007,01/11/2007,01/11/2007,NA,72010;72050,95.00;5.00,GB-1-102060,576087
GB-1-102076,UNICEF Implementation of Global  Mine Action Programme,To enable the implementation of UNICEF's medium term strategic plan and core committements to children in emergency via its mine action programme,0,0,01/05/2006,01/05/2006,01/05/2006,NA,15250,100,GB-1-102076,1500000
GB-1-102089,Support to ISDR Secretariat,"The ISDR serves as an international platform for disaster reduction based on a cross sectoral inter-disciplinary approach. It supports initiatives aimed at reducing human, economic and social losses due to natural hazards and technological and environmental hazards.",0,0,01/03/2002,01/03/2002,01/03/2002,NA,74010,100,GB-1-102089,8451803
GB-1-102102,Disaster Risk Reduction Projects in Conflict Humanitarian Fund 2005,"Various projects involved in bringing about sustainable DRR to communties, through education, livelihoods and international policy.",0,0,01/10/2005,01/10/2005,01/10/2005,NA,16010;11110;15150;41081;11120;15110;16020,44.00;36.00;11.00;4.00;2.00;2.00;1.00,GB-1-102102,12775842
GB-1-102104,Merlin: Increasing access to quality healthcare in fragile states.,Merlin: Increasing access to quality healthcare in fragile situations to reduce morbidity and mortality,0,0,01/01/2006,01/01/2006,01/01/2006,NA,15210;12110,80.00;20.00,GB-1-102104,3761264
GB-1-102105,World Bank DRR (Disaster Risk Reduction) Initiative,Joint World Bank/DFID Initiative To Mainstream Disaster Risk Reduction Into Developing Country Planning Processes Including Poverty Reduction Strategies,0,0,01/05/2006,01/05/2006,01/05/2006,NA,99810,100,GB-1-102105,6880000
GB-1-102109,MapAction - Development of information mapping systems to support humanitarian response,TO PROVIDE A RAPIDLY DEPLOYABLE ON-SITE INFORMATION MAPPING SERVICE IN SUPPORT OF THE INITIAL STAGES (TYPICALLY DAY 1 TO DAY 14) OF DISASTER RELIEF THROUGH THE USE OF HIGH TECHNOLOGY GEOGRAPHIC SYSTEMS,0,0,01/06/2006,01/06/2006,01/06/2006,NA,72010,100,GB-1-102109,690000
GB-1-102112,International Health Partnership Funding Under 2005 CHF,To estabilsh an innovative new model for harnessing and capturing the capabilities and additional resourcesavailable from within the UK pharmacecutical and medicalsupplies industries and the UK medicak community to support southernCSOs deliver humanitarian medical assistance in priority low income countries,0,0,01/11/2005,01/11/2005,01/11/2005,NA,72010,100,GB-1-102112,155801
GB-1-102198,Corporate Membership of the International for Strategic Studies,"Corporate Membership of the International Institute for Srategic Studies providing DFID with information on security,arms control,conflict resolution and peacekeeping",0,0,01/12/2003,01/12/2003,01/12/2003,NA,15220,100,GB-1-102198,80601
GB-1-102316,Conciliation Resources,"Working towards the prevention of violence, to promote justice and transform conflict into opportunites of development",0,0,01/10/2005,01/10/2005,01/10/2005,NA,15220;15150,95.00;5.00,GB-1-102316,1749990
GB-1-102317,International Alert,To work together with people who live in areas affected or threatened by armed conflict to make a positive difference for peace;  To improve both the substance and implementation of international policies that affect peacebuilding and the prospects for peace;  To strengthen the peacebuilding sector through increasing its effectiveness and profile,0,1,01/10/2005,01/10/2005,01/10/2005,NA,15220,100,GB-1-102317,2450000
GB-1-102318,European Centre for Conflict Prevention -ECCP,"To enhance capacity by sustainable networks at global, regional and national levels",0,0,01/01/2006,01/01/2006,01/01/2006,NA,15220,100,GB-1-102318,1024833
